date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2020-09-30,sh.688378,100.0000,112.0000,65.1200,65.8200,55479249,4647180226.4900,3,370.730400,5.194183
2020-10-30,sh.688378,67.0900,73.4900,63.1900,65.5100,10842003,744250298.2900,3,72.449800,-0.470981
2020-11-30,sh.688378,66.1700,69.9000,59.0100,59.6100,12204454,791018862.9900,3,81.554100,-9.006259
2020-12-31,sh.688378,59.8000,65.0100,54.4200,55.1700,12866082,752562415.0000,3,85.975200,-7.448415
2021-01-29,sh.688378,54.8100,56.3000,47.4600,50.9900,8065961,417345410.6200,3,53.899400,-7.576581
2021-02-26,sh.688378,50.4500,52.4700,45.0500,49.9800,3201582,157905613.1000,3,21.394200,-1.980781
2021-03-31,sh.688378,48.2700,52.9800,46.0100,51.7000,11936589,596214679.1700,3,76.047100,3.441377
2021-04-30,sh.688378,51.1600,58.6600,49.6000,58.3800,14241665,749269791.4300,3,90.570300,12.920700
2021-05-31,sh.688378,59.0000,63.3700,52.4300,63.1200,9271715,527528666.8600,3,58.963800,8.119200
2021-06-30,sh.688378,63.1000,69.7900,61.1700,64.6000,15066322,990835282.0000,3,95.815100,3.883800
2021-07-30,sh.688378,65.5700,81.8000,62.8000,76.1600,17377657,1264852214.6500,3,110.513900,17.894700
2021-08-31,sh.688378,75.9900,81.6000,63.8500,68.2100,15707813,1128366207.0100,3,99.894600,-10.438600
2021-09-30,sh.688378,67.8800,69.9900,57.0000,57.2500,10249328,673251532.3300,3,27.077600,-16.068000
2021-10-29,sh.688378,58.2500,80.2000,57.0900,70.1700,19631582,1437639155.3300,3,43.172200,22.567700
2021-11-30,sh.688378,70.7300,85.1800,69.2500,83.0000,25615858,1940029569.7100,3,56.332400,18.284200
2021-12-31,sh.688378,82.6600,92.8800,74.0500,80.1000,27452508,2284702087.1900,3,60.371400,-3.494000
2022-01-28,sh.688378,79.9000,80.3000,57.2000,59.8200,22277049,1519276747.7600,3,48.989800,-25.318400
2022-02-28,sh.688378,60.9800,61.9900,54.3000,61.3000,13579099,787163683.3800,3,29.861900,2.474100
2022-03-31,sh.688378,61.3000,63.5000,55.9900,58.2400,17555950,1052163543.4200,3,38.607600,-4.991800
2022-04-29,sh.688378,60.8000,63.6300,41.1300,48.4200,16572498,877207395.2700,3,36.054900,-16.861300
2022-05-31,sh.688378,49.0000,58.1100,49.0000,55.3200,14625492,789934554.9000,3,31.213800,14.250300
2022-06-30,sh.688378,56.0000,64.8800,38.3900,39.0100,29936672,1593811455.4500,3,58.097400,1.387100
2022-07-29,sh.688378,38.9000,39.5000,33.5100,37.2200,29136169,1068141408.1200,3,44.234300,-4.588600
2022-08-31,sh.688378,36.7800,45.8000,30.7900,30.8000,60076565,2315346033.1100,3,91.145500,-17.248800
2022-09-30,sh.688378,30.8900,32.7900,28.9000,31.3000,26636656,814872469.5200,3,39.879100,1.623400
2022-10-31,sh.688378,31.1100,36.4500,30.6800,34.9600,19130119,642813386.8500,3,28.598700,11.693300
2022-11-30,sh.688378,35.7700,56.7400,34.2000,54.2600,69099789,3150943225.6300,3,103.301100,55.205900
2022-12-30,sh.688378,55.0200,60.5000,45.3100,50.5000,40819554,2190428029.7800,3,61.023300,-6.929600
2023-01-31,sh.688378,50.5000,61.8800,47.0000,60.8100,35948652,1913352455.4700,3,53.741600,20.415800
2023-02-28,sh.688378,61.8500,69.4200,51.0100,53.4200,46708539,2815576979.2400,3,69.827300,-12.152600
2023-03-31,sh.688378,53.4200,60.2700,49.3000,58.6400,42769046,2357427051.2700,3,63.938000,9.771600
2023-04-28,sh.688378,58.9800,64.0100,54.6000,60.9000,26079216,1551771354.0200,3,38.987200,3.854000
2023-05-31,sh.688378,59.6800,67.0000,42.7000,48.7000,33542736,1940231384.9800,3,46.131400,13.767900
2023-06-30,sh.688378,48.0000,52.2900,47.5000,49.4000,31499565,1557374037.5500,3,33.636200,1.437400
2023-07-31,sh.688378,49.8100,53.2000,43.0000,44.2800,31270884,1534456536.2600,3,33.392000,-10.364400
2023-08-31,sh.688378,44.7500,48.3300,37.6000,42.4600,31479405,1324191405.8300,3,33.614800,-4.110200
2023-09-28,sh.688378,42.7100,43.4200,35.5300,38.3800,26211300,1027499830.3000,3,27.661800,-9.609000
2023-10-31,sh.688378,38.4000,39.1200,31.1800,33.8800,38622142,1335687996.6100,3,40.739200,-11.724900
2023-11-30,sh.688378,33.9700,52.5600,33.8800,48.7200,76589658,3347176106.0500,3,80.787700,43.801700
2023-12-29,sh.688378,49.0400,51.2900,42.5000,47.3400,33630344,1562382789.2100,3,35.473800,-2.832500
2024-01-31,sh.688378,47.7800,48.6800,29.5000,30.4200,39258808,1511143653.9800,3,41.410700,-35.741400
2024-02-29,sh.688378,31.2700,36.7700,21.8000,33.7000,52724817,1532230641.8000,3,55.614900,10.782400
2024-03-29,sh.688378,34.0400,40.2800,32.0500,33.7000,39064728,1389617157.5400,3,28.008300,0.000000
2024-04-30,sh.688378,34.2100,36.4500,27.1300,32.1800,45351019,1416564903.4700,3,31.553800,-4.510400
2024-05-31,sh.688378,32.5500,41.6000,31.7700,37.7800,47119852,1702115850.3800,3,32.784300,17.402100
2024-06-28,sh.688378,37.7800,38.1200,22.8000,23.4600,49690900,1352868612.7800,3,26.955800,-10.968100
2024-07-31,sh.688378,23.7000,23.9900,18.3600,20.0500,48292533,1002019338.4400,3,24.000500,-14.535400
2024-08-30,sh.688378,20.0000,20.4600,14.5400,15.5700,61311974,1023574828.6900,3,30.470600,-22.344100
2024-09-30,sh.688378,15.5000,19.7300,13.1600,19.2500,64520110,972109826.5900,3,32.065000,23.635200
2024-10-31,sh.688378,23.1000,27.4000,17.4100,23.0200,232154216,5297138100.6000,3,115.375500,19.584400
2024-11-29,sh.688378,22.9900,29.0000,21.0500,24.4200,187755054,4677863642.6000,3,93.310300,6.081700
