date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2015-11-30,sh.601985,10.1600,11.5300,9.0900,9.5400,5020505367,53761548810.0000,3,129.028665,-7.915058
2015-12-31,sh.601985,9.5500,10.1100,9.3300,9.5400,2154726740,20918842734.0000,3,55.377197,0.000000
2016-01-29,sh.601985,9.5300,9.6000,6.8100,7.0800,1646171009,13297143652.0000,3,42.307145,-25.786164
2016-02-29,sh.601985,7.0600,7.6300,6.6000,6.8000,1330380560,9540058374.0000,3,34.191225,-3.954802
2016-03-31,sh.601985,6.8300,8.0200,6.7500,7.7200,2520170150,18830902008.0000,3,64.769215,13.529412
2016-04-29,sh.601985,7.7400,7.8700,7.0100,7.0800,1234003430,9265542786.0000,3,31.714300,-8.290155
2016-05-31,sh.601985,7.0800,7.2100,6.5800,6.9300,885762598,6062182048.0000,3,22.764395,-2.118644
2016-06-30,sh.601985,6.9200,7.0800,6.5900,6.8300,1087268892,7446032896.0000,3,26.247343,-1.443001
2016-07-29,sh.601985,6.8400,7.2300,6.6800,6.7600,1286786550,8962647562.0000,3,30.339795,0.253124
2016-08-31,sh.601985,6.7400,6.9800,6.5800,6.7700,827295390,5618162570.0000,3,19.505933,0.147929
2016-09-30,sh.601985,6.7600,6.9400,6.5900,6.6400,664898516,4461842572.0000,3,15.676947,-1.920236
2016-10-31,sh.601985,6.6600,7.0600,6.6500,6.7600,1073067237,7331354778.0000,3,25.300731,1.807229
2016-11-30,sh.601985,6.7800,7.5000,6.7100,7.3200,2243567755,15833677266.0000,3,52.898739,8.284024
2016-12-30,sh.601985,7.2800,7.4600,6.8300,7.0600,1767890167,12535196418.0000,3,41.683234,-3.551913
2017-01-26,sh.601985,7.0600,7.2100,6.9100,7.0500,1047856383,7412988226.0000,3,24.774068,-0.141643
2017-02-28,sh.601985,7.0500,7.7200,7.0200,7.2800,1585400461,11563275156.0000,3,37.483018,3.262411
2017-03-31,sh.601985,7.2700,7.5700,7.1000,7.2600,1342365795,9790726194.0000,3,31.737042,-0.274725
2017-04-28,sh.601985,7.3200,7.8300,7.2700,7.7400,1772581312,13372645374.0000,3,41.908463,6.611570
2017-05-31,sh.601985,7.7200,7.8300,7.1200,7.7200,1338533103,10112683453.0000,3,31.646427,-0.258398
2017-06-30,sh.601985,7.6900,8.0800,7.6400,7.8100,1071244506,8390995164.0000,3,25.327025,1.165803
2017-07-31,sh.601985,7.7700,8.1100,7.7300,7.8200,1009147746,7986004085.0000,3,23.858895,1.525767
2017-08-31,sh.601985,7.8200,7.8700,7.5300,7.7200,814681081,6293302464.0000,3,19.261194,-1.278772
2017-09-29,sh.601985,7.7200,7.7700,7.4100,7.4600,600697210,4543004167.0000,3,14.202055,-3.367876
2017-10-31,sh.601985,7.5300,7.8500,7.4300,7.7900,584044437,4451232742.0000,3,13.808340,4.423592
2017-11-30,sh.601985,7.7900,7.9300,7.1900,7.3500,1034937935,7897932754.0000,3,24.468642,-5.648267
2017-12-29,sh.601985,7.3700,7.6900,7.2000,7.3500,473462093,3495748631.0000,3,11.193883,0.000000
2018-01-31,sh.601985,7.3500,7.8100,7.2300,7.6000,652109278,4902099240.0000,3,15.417571,3.401361
2018-02-28,sh.601985,7.7000,7.7300,7.0200,7.1900,477031956,3523537787.0000,3,11.278300,-5.394737
2018-03-30,sh.601985,7.1700,7.2900,6.5000,6.7200,412729579,2895781931.0000,3,9.758008,-6.536857
2018-04-27,sh.601985,6.7400,6.7500,6.3200,6.6700,287541252,1893836399.0000,3,6.798228,-0.744048
2018-05-31,sh.601985,6.6600,6.7200,6.0600,6.1200,336583630,2192203168.0000,3,8.368956,-8.245877
2018-06-29,sh.601985,6.1100,6.1500,5.4700,5.6500,454565048,2653049833.0000,3,6.174595,-7.679739
2018-07-31,sh.601985,5.6400,5.8700,5.4600,5.7400,389741852,2209786444.0000,3,2.503894,3.588496
2018-08-31,sh.601985,5.7400,5.9800,5.4300,5.8500,414367452,2383848291.0000,3,2.662101,1.916376
2018-09-28,sh.601985,5.8300,6.1000,5.6900,6.0100,252074911,1485694177.0000,3,1.619454,2.735043
2018-10-31,sh.601985,5.9800,5.9800,5.1900,5.5700,337149127,1867644445.0000,3,2.166012,-7.321131
2018-11-30,sh.601985,5.5700,5.6800,5.2500,5.3200,442367072,2436983466.0000,3,2.841984,-4.488330
2018-12-28,sh.601985,5.4000,5.4300,5.2300,5.2700,295599119,1573872026.0000,3,1.899075,-0.939850
2019-01-31,sh.601985,5.2800,5.4600,5.2200,5.3900,436679198,2340203649.0000,3,2.805443,2.277040
2019-02-28,sh.601985,5.3900,6.2500,5.3600,5.9900,786927076,4531107633.0000,3,5.055608,11.131725
2019-03-29,sh.601985,6.0200,6.7300,5.9000,6.0500,1495399645,9283987026.0000,3,9.607185,1.001669
2019-04-30,sh.601985,6.1000,6.5600,5.8200,5.9300,1153020506,7265882114.0000,3,7.407572,-1.983471
2019-05-31,sh.601985,5.8500,5.8500,5.5000,5.5200,554975870,3125652860.0000,3,3.565439,-6.913997
2019-06-28,sh.601985,5.5300,5.6100,5.3600,5.5600,544149308,2990592202.0000,3,3.495884,0.724638
2019-07-31,sh.601985,5.6100,5.6700,5.4100,5.6300,446672281,2483782267.0000,3,2.869600,3.505033
2019-08-30,sh.601985,5.6000,5.6500,5.2500,5.3900,400743220,2177822815.0000,3,2.574500,-4.262877
2019-09-30,sh.601985,5.3900,5.5500,5.2900,5.2900,379845767,2070700869.0000,3,2.440400,-1.855288
2019-10-31,sh.601985,5.2900,5.4200,5.0500,5.0600,300728376,1579480679.0000,3,1.931800,-4.347826
2019-11-29,sh.601985,5.0500,5.1100,4.6900,4.8600,384065418,1882538023.0000,3,2.467400,-3.952569
2019-12-31,sh.601985,4.8600,5.1900,4.7800,5.0000,435083866,2181580823.0000,3,2.795300,2.880658
2020-01-23,sh.601985,5.0300,5.1700,4.8200,4.8500,334557598,1686266342.0000,3,2.149400,-3.000000
2020-02-28,sh.601985,4.3800,4.8300,4.3700,4.5900,667058332,3077933443.0000,3,4.285500,-5.360825
2020-03-31,sh.601985,4.5700,4.9600,4.3200,4.4000,739630342,3416390871.0000,3,4.751600,-4.139434
