date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2021-03-31,sh.688609,12.8800,15.0000,9.0600,9.1100,193204336,2169724477.3600,3,239.216400,128.320802
2021-04-30,sh.688609,9.0600,11.0800,8.5800,8.6800,219418258,2184718381.6600,3,271.673500,-4.720100
2021-05-31,sh.688609,8.7300,8.9600,8.2400,8.6900,54078271,466239669.8800,3,66.957200,0.115200
2021-06-30,sh.688609,8.6300,21.5800,8.5900,17.2800,655942413,10528778163.5500,3,812.156500,98.849300
2021-07-30,sh.688609,17.7900,17.9200,13.1000,16.9100,290064598,4624254247.0400,3,359.144100,-2.141200
2021-08-31,sh.688609,16.8800,18.0900,12.7600,13.1100,208998825,3319068583.1800,3,258.772400,-22.471900
2021-09-30,sh.688609,13.0700,15.5400,12.2100,13.3100,198981387,2722478942.5800,3,241.657700,1.525600
2021-10-29,sh.688609,13.4400,14.7900,12.1000,12.3400,102546411,1384640849.9800,3,120.642800,-7.287800
2021-11-30,sh.688609,12.2000,15.4600,12.1100,14.1100,196051671,2768654652.3400,3,230.649000,14.343600
2021-12-31,sh.688609,14.2500,14.6400,12.3100,12.6200,129333253,1730484827.0200,3,152.156900,-10.559900
2022-01-28,sh.688609,12.7100,13.6000,10.1700,10.4700,79895893,976578552.2500,3,93.995100,-17.036500
2022-02-28,sh.688609,10.6600,11.0100,9.9200,10.1400,32109774,337167512.9300,3,37.776200,-3.151900
2022-03-31,sh.688609,10.1500,11.2000,8.2900,10.2300,162978805,1628252421.4900,3,84.793300,0.887600
2022-04-29,sh.688609,10.3100,11.0000,6.5800,7.5100,135928377,1234240061.1900,3,41.981500,-26.588500
2022-05-31,sh.688609,7.4200,8.5100,7.3200,8.1900,79654599,638109328.7800,3,24.601400,9.054600
2022-06-30,sh.688609,8.1300,9.5000,8.0500,8.3400,132465944,1160185381.8900,3,40.911900,1.831500
2022-07-29,sh.688609,8.3600,10.5200,7.6800,8.9800,243544314,2295070069.4600,3,75.218700,8.495800
2022-08-31,sh.688609,9.0000,10.0500,8.2000,8.3800,252036524,2332655196.9300,3,77.841500,-6.681500
2022-09-30,sh.688609,8.3500,8.8400,6.9700,6.9700,108722705,870087232.1900,3,33.579000,-16.825800
2022-10-31,sh.688609,6.9900,8.1400,6.7100,7.8200,90092285,683889743.8000,3,27.825000,12.195100
2022-11-30,sh.688609,7.9100,8.4200,7.0000,7.1900,202507768,1585296499.3800,3,62.544400,-8.056300
2022-12-30,sh.688609,7.2900,7.7100,6.5300,6.5900,104639875,747325719.6700,3,32.317800,-8.344900
2023-01-31,sh.688609,6.6600,7.3400,6.6600,7.1600,86579796,605158682.8700,3,26.740100,8.649500
2023-02-28,sh.688609,7.1400,8.2100,7.1200,7.6200,274523114,2135665053.1300,3,84.786400,6.424600
2023-03-31,sh.688609,7.6800,9.1800,7.5600,8.6700,384023258,3164898019.5500,3,117.881600,13.779500
2023-04-28,sh.688609,8.6800,11.2100,8.0600,8.8600,619387759,5886654591.0400,3,188.388800,2.191500
2023-05-31,sh.688609,8.7400,10.9600,8.1600,9.7800,542322064,5129794023.2900,3,164.949000,10.383700
2023-06-30,sh.688609,9.8900,12.3700,9.4000,11.9000,724395250,7892747118.3500,3,220.327000,21.676900
2023-07-31,sh.688609,11.6900,12.1300,8.8000,9.2700,388268578,4024784480.4700,3,118.093200,-21.817800
